UNIQUEKEY,OWNERID2,COLLECCITY,COLLECZIP,FIPSCOUNTY,TRAPTYPE,POOLSIZE,GENDER,TESTTYPE,RESULTTYPE,ISPOS,LOGITUDE,LATITUDE,GENUS,COLLECSAMPLEID,COLLECDATE,WEEK_NEW,COLLECYEAR,locationwk,yr_weeks
6  59  1306,4860,HARVARD,60033,MCHENRY,GRAVID TRAP,42,Female,VECWNV,NEGATIVE,0,-88.609959,42.423913,Culex,1306,6/9/2006,23,2006,486023,200623
6  59  2206,4860,HARVARD,60033,MCHENRY,GRAVID TRAP,39,Female,VECWNV,NEGATIVE,0,-88.609959,42.423913,Culex,2206,6/14/2006,24,2006,486024,200624
6  59  3006,4860,HARVARD,60033,MCHENRY,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.609959,42.423913,Culex,3006,6/16/2006,24,2006,486024,200624
6  59  3206,4860,HARVARD,60033,MCHENRY,GRAVID TRAP,28,Female,VECWNV,NEGATIVE,0,-88.609959,42.423913,Culex,3206,6/16/2006,24,2006,486024,200624
6  59  4606,4860,HARVARD,60033,MCHENRY,GRAVID TRAP,24,Female,VECWNV,NEGATIVE,0,-88.609959,42.423913,Culex,4606,6/16/2006,24,2006,486024,200624
6  59  3106,4860,HARVARD,60033,MCHENRY,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.609959,42.423913,Culex,3106,6/19/2006,25,2006,486025,200625
6  59  5006,4860,HARVARD,60033,MCHENRY,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.609959,42.423913,Culex,5006,6/21/2006,25,2006,486025,200625
6  59  5106,4860,HARVARD,60033,MCHENRY,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.609959,42.423913,Culex,5106,6/21/2006,25,2006,486025,200625
6  59  5206,4860,HARVARD,60033,MCHENRY,GRAVID TRAP,32,Female,VECWNV,NEGATIVE,0,-88.609959,42.423913,Culex,5206,6/21/2006,25,2006,486025,200625
6  59  1006,4861,MARENGO,60152,MCHENRY,GRAVID TRAP,14,Female,VECWNV,NEGATIVE,0,-88.597487,42.246934,Culex,1006,6/9/2006,23,2006,486123,200623
6  59  606,4861,MARENGO,60152,MCHENRY,GRAVID TRAP,28,Female,VECWNV,NEGATIVE,0,-88.597487,42.246934,Culex,606,6/9/2006,23,2006,486123,200623
6  59  2306,4861,MARENGO,60152,MCHENRY,GRAVID TRAP,39,Female,VECWNV,NEGATIVE,0,-88.597487,42.246934,Culex,2306,6/14/2006,24,2006,486124,200624
6  59  3606,4861,MARENGO,60152,MCHENRY,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.597487,42.246934,Culex,3606,6/16/2006,24,2006,486124,200624
6  59  3706,4861,MARENGO,60152,MCHENRY,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.597487,42.246934,Culex,3706,6/16/2006,24,2006,486124,200624
6  59  3906,4861,MARENGO,60152,MCHENRY,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.597487,42.246934,Culex,3906,6/19/2006,25,2006,486125,200625
6  59  4006,4861,MARENGO,60152,MCHENRY,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.597487,42.246934,Culex,4006,6/19/2006,25,2006,486125,200625
6  59  4106,4861,MARENGO,60152,MCHENRY,GRAVID TRAP,11,Female,VECWNV,NEGATIVE,0,-88.597487,42.246934,Culex,4106,6/19/2006,25,2006,486125,200625
6  44  44MA6,4653,MILLBROOK,60536,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.551021,41.599523,Culex,44MA6,7/12/2006,28,2006,465328,200628
6  44  44MA1,4824,MILLBROOK,60536,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.550903,41.599615,Culex,44MA1,6/16/2006,24,2006,482424,200624
6  44  44MA2,4824,MILLBROOK,60536,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.550903,41.599615,Culex,44MA2,6/23/2006,25,2006,482425,200625
6  44  44MA3,4824,MILLBROOK,60536,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.550903,41.599615,Culex,44MA3,6/28/2006,26,2006,482426,200626
6  44  44MA4,4824,MILLBROOK,60536,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.550903,41.599615,Culex,44MA4,6/30/2006,26,2006,482426,200626
6  44  44MA5,4824,MILLBROOK,60536,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.550903,41.599615,Culex,44MA5,7/7/2006,27,2006,482427,200627
6  44  44MA7,4824,MILLBROOK,60536,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.550903,41.599615,Culex,44MA7,7/14/2006,28,2006,482428,200628
6  44  44MA8,4824,MILLBROOK,60536,KENDALL,GRAVID TRAP,37,Female,VECWNV,NEGATIVE,0,-88.550903,41.599615,Culex,44MA8,7/19/2006,29,2006,482429,200629
6  44  44MA9,4824,MILLBROOK,60536,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.550903,41.599615,Culex,44MA9,7/21/2006,29,2006,482429,200629
6  44  44MA10,4824,MILLBROOK,60536,KENDALL,GRAVID TRAP,28,Female,VECWNV,NEGATIVE,0,-88.550903,41.599615,Culex,44MA10,7/25/2006,30,2006,482430,200630
6  44  44MA11,4824,MILLBROOK,60536,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.550903,41.599615,Culex,44MA11,7/27/2006,30,2006,482430,200630
6  44  44MA12,4824,MILLBROOK,60536,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.550903,41.599615,Culex,44MA12,8/2/2006,31,2006,482431,200631
6  44  44PA1,4652,PLANO,60545,KENDALL,GRAVID TRAP,7,Female,VECWNV,NEGATIVE,0,-88.537599,41.662391,Culex,44PA1,5/30/2006,22,2006,465222,200622
6  44  44PA2,4652,PLANO,60545,KENDALL,GRAVID TRAP,21,Female,VECWNV,NEGATIVE,0,-88.537599,41.662391,Culex,44PA2,6/1/2006,22,2006,465222,200622
6  44  44PA3,4652,PLANO,60545,KENDALL,GRAVID TRAP,27,Female,VECWNV,NEGATIVE,0,-88.537599,41.662391,Culex,44PA3,6/7/2006,23,2006,465223,200623
6  44  44PA4,4652,PLANO,60545,KENDALL,GRAVID TRAP,23,Female,VECWNV,NEGATIVE,0,-88.537599,41.662391,Culex,44PA4,6/9/2006,23,2006,465223,200623
