OBJECTID,ORGANIZATION,LOCATEID,COLLECADDRES,COLLECCITY,COLLECZIP,COMP_ADDR,FIPSCOUNTY,JURISDNAME,TRAPTYPE,OrgLocIDTrap,POOLSIZE,GENDER,TESTTYPE,RESULTTYPE,ISPOS,TESTDATE,GENUS,SPECIES,U_trap2,LOGITUDE,LATITUDE,COLLECSAMPLEID,U_id2,Numtests,COLLECDATE,WEEK_NEW,YEAR
167144,COOK COUNTY HEALTH DEPT,38,4303 WESTVIEW,NORTHBROOK,60062,4303 WESTVIEW_NORTHBROOK_60062,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,COOK COUNTY HEALTH DEPT|38|GRAVID TRAP,10,Female,RAMP WNV,NEGATIVE,0,13-May-10,Culex,SP,UTB0514,-87.863114,42.090746,001,UTB0514 001,1,03-May-10,18,2010
167342,COOK COUNTY HEALTH DEPT,36,2790 BROOK DALE,NORTHBROOK,60062,2790 BROOK DALE_NORTHBROOK_60062,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,COOK COUNTY HEALTH DEPT|36|GRAVID TRAP,10,Female,RAMP WNV,NEGATIVE,0,13-May-10,Culex,SP,UTB0516,-87.859811,42.102778,002,UTB0516 002,1,03-May-10,18,2010
161061,North Shore MAD,NSG24,SOMME WOODS,NORTHBROOK,60062,SOMME WOODS_NORTHBROOK_60062,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,North Shore MAD|NSG24|GRAVID TRAP,7,Female,PCRWNV,NEGATIVE,0,20-May-10,Culex,RESTUANS,UTB0011,-87.84219,42.12548,NS11,UTB0011 NS11,2,03-May-10,18,2010
161059,North Shore MAD,NSG13,2900 PATRIOT BLVD,GLENVIEW,60025,2900 PATRIOT BLVD_GLENVIEW_60025,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,North Shore MAD|NSG13|GRAVID TRAP,24,Female,PCRWNV,NEGATIVE,0,20-May-10,Culex,RESTUANS,UTB0009,-87.821683,42.110783,NS8,UTB0009 NS8,2,03-May-10,18,2010
161052,North Shore MAD,NSG2,GLENVIEW&HARLEM,GLENVIEW,60025,GLENVIEW&HARLEM_GLENVIEW_60025,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,North Shore MAD|NSG2|GRAVID TRAP,50,Female,PCRWNV,NEGATIVE,0,20-May-10,Culex,RESTUANS,UTB0005,-87.8036,42.067666,NS1,UTB0005 NS1,2,03-May-10,18,2010
161053,North Shore MAD,NSG2,GLENVIEW&HARLEM,GLENVIEW,60025,GLENVIEW&HARLEM_GLENVIEW_60025,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,North Shore MAD|NSG2|GRAVID TRAP,7,Female,PCRWNV,NEGATIVE,0,20-May-10,Culex,RESTUANS,UTB0005,-87.8036,42.067666,NS2,UTB0005 NS2,2,03-May-10,18,2010
161055,North Shore MAD,NSG5,4600 Block BRUMMEL,SKOKIE,60077,4600 Block BRUMMEL_SKOKIE_60077,COOK,SKOKIE HEALTH DEPT,GRAVID TRAP,North Shore MAD|NSG5|GRAVID TRAP,7,Female,PCRWNV,NEGATIVE,0,20-May-10,Culex,RESTUANS,UTB0007,-87.761766,42.097216,NS4,UTB0007 NS4,2,03-May-10,18,2010
161060,North Shore MAD,NSG14,270 EUCLID - CROW ISLAND PARK,WINNETKA,60093,270 EUCLID - CROW ISLAND PARK_WINNETKA_60093,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,North Shore MAD|NSG14|GRAVID TRAP,6,Female,PCRWNV,NEGATIVE,0,20-May-10,Culex,RESTUANS,UTB0010,-87.74885,42.098383,NS9,UTB0010 NS9,2,03-May-10,18,2010
161057,North Shore MAD,NSG6,6600 Block KILBORN,LINCOLNWOOD,60712,6600 Block KILBORN_LINCOLNWOOD_60712,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,North Shore MAD|NSG6|GRAVID TRAP,40,Female,PCRWNV,NEGATIVE,0,20-May-10,Culex,RESTUANS,UTB0008,-87.745233,42.02175,NS6,UTB0008 NS6,2,03-May-10,18,2010
161058,North Shore MAD,NSG6,6600 Block KILBORN,LINCOLNWOOD,60712,6600 Block KILBORN_LINCOLNWOOD_60712,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,North Shore MAD|NSG6|GRAVID TRAP,33,Female,PCRWNV,NEGATIVE,0,20-May-10,Culex,RESTUANS,UTB0008,-87.745233,42.02175,NS7,UTB0008 NS7,2,03-May-10,18,2010
161056,North Shore MAD,NSG6,6600 Block KILBORN,LINCOLNWOOD,60712,6600 Block KILBORN_LINCOLNWOOD_60712,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,North Shore MAD|NSG6|GRAVID TRAP,40,Female,RAMP WNV,NEGATIVE,0,06-May-10,Culex,RESTUANS,UTB0008,-87.745233,42.02175,NS5,UTB0008 NS5,1,03-May-10,18,2010
161063,North Shore MAD,NSG25,CENTENNIAL PARK,KENILWORTH,60043,CENTENNIAL PARK_KENILWORTH_60043,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,North Shore MAD|NSG25|GRAVID TRAP,1,Female,PCRWNV,NEGATIVE,0,20-May-10,Culex,RESTUANS,UTB0013,-87.716083,42.085583,NS12,UTB0013 NS12,2,03-May-10,18,2010
161054,North Shore MAD,NSG3,PERKINS WOODS,EVANSTON,60201,PERKINS WOODS_EVANSTON_60201,COOK,EVANSTON HEALTH DEPT,GRAVID TRAP,North Shore MAD|NSG3|GRAVID TRAP,15,Female,PCRWNV,NEGATIVE,0,20-May-10,Culex,RESTUANS,UTB0006,-87.7118,42.059166,NS3,UTB0006 NS3,2,03-May-10,18,2010
161062,North Shore MAD,NSG17,212 DEWEY,EVANSTON,60201,212 DEWEY_EVANSTON_60201,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,North Shore MAD|NSG17|GRAVID TRAP,22,Female,PCRWNV,NEGATIVE,0,20-May-10,Culex,RESTUANS,UTB0012,-87.696433,42.022067,NS10,UTB0012 NS10,2,03-May-10,18,2010
170659,CITY OF NAPERVILLE,G6,1003 DOUGLAS AV.,NAPERVILLE,60563,1003 DOUGLAS AV._NAPERVILLE_60563,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,CITY OF NAPERVILLE|G6|GRAVID TRAP,10,Female,VECWNV,NEGATIVE,0,04-May-10,Culex,SP,UTB0601,-88.164146,41.775795,2,UTB0601 2,1,04-May-10,18,2010
170660,CITY OF NAPERVILLE,G7,1021 JACKSON AV.,NAPERVILLE,60540,1021 JACKSON AV._NAPERVILLE_60540,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,CITY OF NAPERVILLE|G7|GRAVID TRAP,19,Female,VECWNV,NEGATIVE,0,04-May-10,Culex,SP,UTB0602,-88.162748,41.772331,3,UTB0602 3,1,04-May-10,18,2010
170663,CITY OF NAPERVILLE,G12,2807 S. WASHINGTON ST.,NAPERVILLE,60565,2807 S. WASHINGTON ST._NAPERVILLE_60565,WILL,WILL COUNTY HEALTH DEPT,GRAVID TRAP,CITY OF NAPERVILLE|G12|GRAVID TRAP,82,Female,VECWNV,NEGATIVE,0,04-May-10,Culex,SP,UTB0605,-88.12711,41.73218,6,UTB0605 6,1,04-May-10,18,2010
170664,CITY OF NAPERVILLE,G13,336 KNOCK KNOLL RD.,NAPERVILLE,60565,336 KNOCK KNOLL RD._NAPERVILLE_60565,WILL,WILL COUNTY HEALTH DEPT,GRAVID TRAP,CITY OF NAPERVILLE|G13|GRAVID TRAP,12,Female,VECWNV,NEGATIVE,0,04-May-10,Culex,SP,UTB0606,-88.12711,41.73218,7,UTB0606 7,1,04-May-10,18,2010
170661,CITY OF NAPERVILLE,G10,1152 BLUE LARKSPUR LN.,NAPERVILLE,60540,1152 BLUE LARKSPUR LN._NAPERVILLE_60540,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,CITY OF NAPERVILLE|G10|GRAVID TRAP,18,Female,VECWNV,NEGATIVE,0,04-May-10,Culex,SP,UTB0603,-88.126407,41.757469,4,UTB0603 4,1,04-May-10,18,2010
170658,CITY OF NAPERVILLE,G4,25W670 PLANK RD.,NAPERVILLE,60563,25W670 PLANK RD._NAPERVILLE_60563,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,CITY OF NAPERVILLE|G4|GRAVID TRAP,37,Female,VECWNV,NEGATIVE,0,04-May-10,Culex,SP,UTB0600,-88.124169,41.787577,1,UTB0600 1,1,04-May-10,18,2010
170662,CITY OF NAPERVILLE,G11,1149 ROYCE RD.,NAPERVILLE,60565,1149 ROYCE RD._NAPERVILLE_60565,WILL,WILL COUNTY HEALTH DEPT,GRAVID TRAP,CITY OF NAPERVILLE|G11|GRAVID TRAP,77,Female,VECWNV,NEGATIVE,0,04-May-10,Culex,SP,UTB0604,-88.1087,41.716511,5,UTB0604 5,1,04-May-10,18,2010
161047,Reed Township MAD,4,786 E SMITH ROAD,BRACEVILLE,60407,786 E SMITH ROAD_BRACEVILLE_60407,WILL,WILL COUNTY HEALTH DEPT,GRAVID TRAP,Reed Township MAD|4|GRAVID TRAP,22,Female,VECWNV,NEGATIVE,0,06-May-10,Culex,PIPIENS/RESTUANS,UTB0001,-88.236633,41.23115,RT001,UTB0001 RT001,1,05-May-10,18,2010
161048,Reed Township MAD,7,373 S. CEMETERY RD.,BRAIDWOOD,60408,373 S. CEMETERY RD._BRAIDWOOD_60408,WILL,WILL COUNTY HEALTH DEPT,GRAVID TRAP,Reed Township MAD|7|GRAVID TRAP,30,Female,VECWNV,NEGATIVE,0,06-May-10,Culex,PIPIENS/RESTUANS,UTB0002,-88.122507,41.150465,RT002,UTB0002 RT002,1,05-May-10,18,2010
161049,Reed Township MAD,7,373 S. CEMETERY RD.,BRAIDWOOD,60408,373 S. CEMETERY RD._BRAIDWOOD_60408,WILL,WILL COUNTY HEALTH DEPT,GRAVID TRAP,Reed Township MAD|7|GRAVID TRAP,45,Female,VECWNV,NEGATIVE,0,06-May-10,Culex,PIPIENS/RESTUANS,UTB0002,-88.122507,41.150465,RT003,UTB0002 RT003,1,05-May-10,18,2010
161050,DUPAGE COUNTY HEALTH DEPT,1002,16W130 Thurlow Street,BURR RIDGE,60527,16W130 Thurlow Street_BURR RIDGE_60527,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,DUPAGE COUNTY HEALTH DEPT|1002|GRAVID TRAP,40,Female,RAMP WNV,NEGATIVE,0,06-May-10,Culex,SP,UTB0003,-87.936912,41.729827,C10000,UTB0003 C10000,1,06-May-10,18,2010
161075,Reed Township MAD,7,373 S. CEMETERY RD.,BRAIDWOOD,60408,373 S. CEMETERY RD._BRAIDWOOD_60408,WILL,WILL COUNTY HEALTH DEPT,GRAVID TRAP,Reed Township MAD|7|GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,13-May-10,Culex,PIPIENS/RESTUANS,UTB0002,-88.122507,41.150465,RT005,UTB0002 RT005,1,07-May-10,18,2010
162001,DUPAGE COUNTY HEALTH DEPT,604,470 18th Street,LOMBARD,60148,470 18th Street_LOMBARD_60148,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,DUPAGE COUNTY HEALTH DEPT|604|GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,08-Jun-10,Culex,SP,UTB0073,-88.008566,41.848942,E10056,UTB0073 E10056,1,07-May-10,18,2010
199132,Reed Township MAD,5,1150 N.DIVISON,BRAIDWOOD,60408,1150 N.DIVISON_BRAIDWOOD_60408,WILL,WILL COUNTY HEALTH DEPT,GRAVID TRAP,Reed Township MAD|5|GRAVID TRAP,30,Female,VECWNV,NEGATIVE,0,10-May-10,Culex,PIPIENS/RESTUANS,UTB0094,-88.227583,41.2845,RT001,UTB0094 RT001,1,09-May-10,19,2010
161051,DUPAGE COUNTY HEALTH DEPT,1001,19W715 109th Street,LEMONT,60439,19W715 109th Street_LEMONT_60439,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,DUPAGE COUNTY HEALTH DEPT|1001|GRAVID TRAP,20,Female,RAMP WNV,NEGATIVE,0,10-May-10,Culex,SP,UTB0004,-88.009092,41.689184,C00010,UTB0004 C00010,1,10-May-10,19,2010
